Band_1	Band_2	Band_3	Band_4	Band_5	Band_6	Band_7
697	897	1138	2208	3199	2523	3171
376	609	416	4406	1993	833	2487
404	614	751	2749	2819	1438	3027
597	1011	1061	4789	2316	1043	2979
318	480	342	3604	1714	620	2487
469	614	829	2863	2819	1491	3027
470	657	791	2720	2818	1491	3075
1542	2014	2479	3353	3649	2995	3313
640	1032	1022	4677	2316	1043	2931
826	1141	1563	2554	3651	2997	3075
262	450	257	3669	1615	594	2436
306	539	394	3612	1943	780	2587
326	449	296	3641	1438	515	2436
306	405	277	3270	1539	541	2436
672	852	1137	2034	3224	2734	3171
262	382	217	3127	1288	437	2436
285	405	238	3612	1514	515	2436
473	814	675	4389	2239	963	2637
1024	1426	1598	3082	3588	2881	3407
262	382	198	3270	1438	541	2436
348	382	237	2812	1237	437	2436
285	405	217	3242	1338	463	2436
372	673	355	4660	2044	806	2537
376	609	395	4095	1892	727	2537
481	665	544	3562	2386	1041	2686
529	745	789	1424	858	568	2637
348	427	335	2236	1111	515	2487
306	450	238	3413	1313	463	2487
554	967	906	4538	2292	964	2979
911	1185	1563	2669	3626	2946	3123
305	450	296	3298	1438	515	2487
306	428	277	3528	1413	488	2436
1087	1513	1807	3138	3612	2985	3453
285	494	336	2841	1313	541	2537
911	1229	1640	2669	3701	2919	3123
305	427	277	3612	1640	647	2386
932	1207	1602	2640	3676	2946	3171
398	720	573	4123	2244	939	2637
328	473	296	3441	1615	594	2487
326	463	327	2831	1461	567	2537
469	634	848	2836	2945	1544	3075
284	382	237	2294	1060	410	2487
1498	1991	2479	3581	3849	3233	3313
306	405	238	3270	1489	515	2436
305	427	277	2984	1413	568	2487
597	1032	983	4762	2317	964	2979
447	657	829	2806	2844	1517	3027
328	494	336	3356	1590	621	2587
377	743	474	4378	2018	780	2587
267	453	279	2896	1313	594	2436
597	989	965	4649	2266	1017	2979
576	989	1004	4508	2266	938	2979
446	634	790	2778	2844	1465	3027
348	486	365	3143	1662	646	2637
591	743	885	1861	2622	2180	3218
1418	1836	2186	2968	3587	3274	3453
241	428	257	3070	1389	515	2386
338	479	341	3605	1613	673	2487
262	405	238	3327	1463	594	2487
306	382	238	3013	1313	488	2436
306	473	317	3356	1640	674	2537
313	432	300	3238	1488	594	2487
376	698	474	4293	2069	833	2637
